% _Annual_D-N__________________ L-OTI(^S^o^N^C) Change 1957-2020                  
%   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        0.5435
 162   1  143.00  -89.00        0.5435
 163   1  145.00  -89.00        0.5435
 164   1  147.00  -89.00        0.5435
 165   1  149.00  -89.00        0.5435
 166   1  151.00  -89.00        0.5435
 167   1  153.00  -89.00        0.5435
 168   1  155.00  -89.00        0.5435
 169   1  157.00  -89.00        0.5435
 170   1  159.00  -89.00        0.5435
 171   1  161.00  -89.00        0.5435
 172   1  163.00  -89.00        0.5435
 173   1  165.00  -89.00        0.5435
 174   1  167.00  -89.00        0.5435
 175   1  169.00  -89.00        0.5435
 176   1  171.00  -89.00        0.5435
 177   1  173.00  -89.00        0.5435
 178   1  175.00  -89.00        0.5435
 179   1  177.00  -89.00        0.5435
 180   1  179.00  -89.00        0.5435
   1   2 -179.00  -87.00        0.5435
   2   2 -177.00  -87.00        0.5435
   3   2 -175.00  -87.00        0.5435
   4   2 -173.00  -87.00        0.5435
   5   2 -171.00  -87.00        0.5435
   6   2 -169.00  -87.00        0.5435
   7   2 -167.00  -87.00        0.5435
   8   2 -165.00  -87.00        0.5435
   9   2 -163.00  -87.00        0.5435
  10   2 -161.00  -87.00        0.5435
  11   2 -159.00  -87.00        0.5435
  12   2 -157.00  -87.00        0.5435
  13   2 -155.00  -87.00        0.5435
  14   2 -153.00  -87.00        0.5435
  15   2 -151.00  -87.00        0.5435
  16   2 -149.00  -87.00        0.5435
  17   2 -147.00  -87.00        0.5435
  18   2 -145.00  -87.00        0.5435
  19   2 -143.00  -87.00        0.5435
  20   2 -141.00  -87.00        0.5435
  21   2 -139.00  -87.00        0.5435
  22   2 -137.00  -87.00        0.5435
  23   2 -135.00  -87.00        0.5435
  24   2 -133.00  -87.00        0.5435
  25   2 -131.00  -87.00        0.5435
  26   2 -129.00  -87.00        0.5435
  27   2 -127.00  -87.00        0.5435
  28   2 -125.00  -87.00        0.5435
  29   2 -123.00  -87.00        0.5435
  30   2 -121.00  -87.00        0.5435
  31   2 -119.00  -87.00        0.5435
  32   2 -117.00  -87.00        0.5435
  33   2 -115.00  -87.00        0.5435
  34   2 -113.00  -87.00        0.5435
  35   2 -111.00  -87.00        0.5435
  36   2 -109.00  -87.00        0.5435
  37   2 -107.00  -87.00        0.5435
  38   2 -105.00  -87.00        0.5435
  39   2 -103.00  -87.00        0.5435
  40   2 -101.00  -87.00        0.5435
  41   2  -99.00  -87.00        0.5435
  42   2  -97.00  -87.00        0.5435
  43   2  -95.00  -87.00        0.5435
  44   2  -93.00  -87.00        0.5435
  45   2  -91.00  -87.00        0.5435
  46   2  -89.00  -87.00        0.5435
  47   2  -87.00  -87.00        0.5435
  48   2  -85.00  -87.00        0.5435
  49   2  -83.00  -87.00        0.5435
  50   2  -81.00  -87.00        0.5435
  51   2  -79.00  -87.00        0.5435
  52   2  -77.00  -87.00        0.5435
  53   2  -75.00  -87.00        0.5435
  54   2  -73.00  -87.00        0.5435
  55   2  -71.00  -87.00        0.5435
  56   2  -69.00  -87.00        0.5435
  57   2  -67.00  -87.00        0.5435
  58   2  -65.00  -87.00        0.5435
  59   2  -63.00  -87.00        0.5435
  60   2  -61.00  -87.00        0.5435
  61   2  -59.00  -87.00        0.5435
  62   2  -57.00  -87.00        0.5435
  63   2  -55.00  -87.00        0.5435
  64   2  -53.00  -87.00        0.5435
  65   2  -51.00  -87.00        0.5435
  66   2  -49.00  -87.00        0.5435
  67   2  -47.00  -87.00        0.5435
  68   2  -45.00  -87.00        0.5435
  69   2  -43.00  -87.00        0.5435
  70   2  -41.00  -87.00        0.5435
  71   2  -39.00  -87.00        0.5435
  72   2  -37.00  -87.00        0.5435
  73   2  -35.00  -87.00        0.5435
  74   2  -33.00  -87.00        0.5435
  75   2  -31.00  -87.00        0.5435
  76   2  -29.00  -87.00        0.5435
  77   2  -27.00  -87.00        0.5435
  78   2  -25.00  -87.00        0.5435
  79   2  -23.00  -87.00        0.5435
  80   2  -21.00  -87.00        0.5435
  81   2  -19.00  -87.00        0.5435
  82   2  -17.00  -87.00        0.5435
  83   2  -15.00  -87.00        0.5435
  84   2  -13.00  -87.00        0.5435
  85   2  -11.00  -87.00        0.5435
  86   2   -9.00  -87.00        0.5435
  87   2   -7.00  -87.00        0.5435
  88   2   -5.00  -87.00        0.5435
  89   2   -3.00  -87.00        0.5435
  90   2   -1.00  -87.00        0.5435
  91   2    1.00  -87.00        0.5435
  92   2    3.00  -87.00        0.5435
  93   2    5.00  -87.00        0.5435
  94   2    7.00  -87.00        0.5435
  95   2    9.00  -87.00        0.5435
  96   2   11.00  -87.00        0.5435
  97   2   13.00  -87.00        0.5435
  98   2   15.00  -87.00        0.5435
  99   2   17.00  -87.00        0.5435
 100   2   19.00  -87.00        0.5435
 101   2   21.00  -87.00        0.5435
 102   2   23.00  -87.00        0.5435
 103   2   25.00  -87.00        0.5435
 104   2   27.00  -87.00        0.5435
 105   2   29.00  -87.00        0.5435
 106   2   31.00  -87.00        0.5435
 107   2   33.00  -87.00        0.5435
 108   2   35.00  -87.00        0.5435
 109   2   37.00  -87.00        0.5435
 110   2   39.00  -87.00        0.5435
 111   2   41.00  -87.00        0.5435
 112   2   43.00  -87.00        0.5435
 113   2   45.00  -87.00        0.5435
 114   2   47.00  -87.00        0.5435
 115   2   49.00  -87.00        0.5435
 116   2   51.00  -87.00        0.5435
 117   2   53.00  -87.00        0.5435
 118   2   55.00  -87.00        0.5435
 119   2   57.00  -87.00        0.5435
 120   2   59.00  -87.00        0.5435
 121   2   61.00  -87.00        0.5435
 122   2   63.00  -87.00        0.5435
 123   2   65.00  -87.00        0.5435
 124   2   67.00  -87.00        0.5435
 125   2   69.00  -87.00        0.5435
 126   2   71.00  -87.00        0.5435
 127   2   73.00  -87.00        0.5435
 128   2   75.00  -87.00        0.5435
 129   2   77.00  -87.00        0.5435
 130   2   79.00  -87.00        0.5435
 131   2   81.00  -87.00        0.5435
 132   2   83.00  -87.00        0.5435
 133   2   85.00  -87.00        0.5435
 134   2   87.00  -87.00        0.5435
 135   2   89.00  -87.00        0.5435
 136   2   91.00  -87.00        0.5435
 137   2   93.00  -87.00        0.5435
 138   2   95.00  -87.00        0.5435
 139   2   97.00  -87.00        0.5435
 140   2   99.00  -87.00        0.5435
 141   2  101.00  -87.00        0.5435
 142   2  103.00  -87.00        0.5435
 143   2  105.00  -87.00        0.5435
 144   2  107.00  -87.00        0.5435
 145   2  109.00  -87.00        0.5435
 146   2  111.00  -87.00        0.5435
 147   2  113.00  -87.00        0.5435
 148   2  115.00  -87.00        0.5435
 149   2  117.00  -87.00        0.5435
 150   2  119.00  -87.00        0.5435
 151   2  121.00  -87.00        0.5435
 152   2  123.00  -87.00        0.5435
 153   2  125.00  -87.00        0.5435
 154   2  127.00  -87.00        0.5435
 155   2  129.00  -87.00        0.5435
 156   2  131.00  -87.00        0.5435
 157   2  133.00  -87.00        0.5435
 158   2  135.00  -87.00        0.5435
 159   2  137.00  -87.00        0.5435
 160   2  139.00  -87.00        0.5435
 161   2  141.00  -87.00        0.5435
 162   2  143.00  -87.00        0.5435
 163   2  145.00  -87.00        0.5435
 164   2  147.00  -87.00        0.5435
 165   2  149.00  -87.00        0.5435
 166   2  151.00  -87.00        0.5435
 167   2  153.00  -87.00        0.5435
 168   2  155.00  -87.00        0.5435
 169   2  157.00  -87.00        0.5435
 170   2  159.00  -87.00        0.5435
 171   2  161.00  -87.00        0.5435
 172   2  163.00  -87.00        0.5435
 173   2  165.00  -87.00        0.5435
 174   2  167.00  -87.00        0.5435
 175   2  169.00  -87.00        0.5435
 176   2  171.00  -87.00        0.5435
 177   2  173.00  -87.00        0.5435
 178   2  175.00  -87.00        0.5435
 179   2  177.00  -87.00        0.5435
 180   2  179.00  -87.00        0.5435
   1   3 -179.00  -85.00        0.5435
   2   3 -177.00  -85.00        0.5435
   3   3 -175.00  -85.00        0.5435
   4   3 -173.00  -85.00        0.5435
   5   3 -171.00  -85.00        0.5435
   6   3 -169.00  -85.00        0.5435
   7   3 -167.00  -85.00        0.5435
   8   3 -165.00  -85.00        0.5435
   9   3 -163.00  -85.00        0.5435
  10   3 -161.00  -85.00        0.5435
  11   3 -159.00  -85.00        0.5435
  12   3 -157.00  -85.00        0.5435
  13   3 -155.00  -85.00        0.5435
  14   3 -153.00  -85.00        0.5435
  15   3 -151.00  -85.00        0.5435
  16   3 -149.00  -85.00        0.5435
